"","Name","Adjusted","year","catch","catch_ma","b","b_lo","b_hi","bbmsy","bbmsy_lo","bbmsy_hi","s","s_lo","s_hi","f","f_lo","f_hi","fmsy","fmsy_lo","fmsy_hi","ffmsy","ffmsy_lo","ffmsy_hi","er"
"299","Micropogonias","IUU_20",2015,165.33804,133.26724,524.344337971856,272.847240152467,730.858706829447,0.842641675585437,0.438476090940982,1.17451827118237,0.421320837792719,0.219238045470491,0.587259135591187,0.315323401106077,0.226224355617595,0.605972924291297,0.282762719349769,0.203742735688374,0.392429969019201,1.1151519614438,0.800050148540841,2.1430439121705,1.1151519614438
"300","Micropogonias","IUU_40",2005,165.56792,165.56792,531.406697061858,290.579385466486,868.902109916156,0.735571552991265,0.402219112059761,1.20273168916051,0.367785776495633,0.201109556029881,0.601365844580254,0.311565362114221,0.190548415190264,0.569785498493649,0.282762719349769,0.203742735688374,0.392429969019201,1.1018615283892,0.673880968567718,2.01506584674213,1.1018615283892
"301","Micropogonias","IUU_40",2006,163.42536,164.49664,548.55637332694,299.360902486765,830.363473961559,0.759310083336011,0.414374461527391,1.1493866250956,0.379655041668006,0.207187230763696,0.574693312547798,0.297918988724607,0.196811836171356,0.545914174638169,0.282762719349769,0.203742735688374,0.392429969019201,1.05360066351636,0.696031770467964,1.93064409584663,1.05360066351636
"302","Micropogonias","IUU_40",2007,171.71518,166.90282,550.145332030845,304.743769733008,791.208475529763,0.761509515198524,0.421825410192051,1.09518839394215,0.380754757599262,0.210912705096026,0.547594196971076,0.312126941741228,0.217028994646482,0.563473964210796,0.282762719349769,0.203742735688374,0.392429969019201,1.10384757389158,0.767530440878325,1.9927448905094,1.10384757389158
"303","Micropogonias","IUU_40",2008,149.59532,161.57862,547.115045697542,318.144317505891,757.108513683646,0.757315001963143,0.44037440814547,1.04798732923827,0.378657500981572,0.220187204072735,0.523993664619136,0.273425710326197,0.197587686964656,0.470212138858114,0.282762719349769,0.203742735688374,0.392429969019201,0.966979349169356,0.698775593257208,1.66292126465397,0.966979349169356
"304","Micropogonias","IUU_40",2009,232.87586,184.728786666667,550.919726562477,331.433787461014,726.749827520322,0.762581429781855,0.458769652517376,1.00596492709054,0.381290714890928,0.229384826258688,0.502982463545271,0.42270379652777,0.320434695931852,0.702631622997678,0.282762719349769,0.203742735688374,0.392429969019201,1.49490639183201,1.13322822990496,2.48488069648441,1.49490639183201
"305","Micropogonias","IUU_40",2010,209.7802,197.417126666667,529.686779745791,335.044722317109,663.769001249276,0.733190848611379,0.463767897692934,0.918787056647796,0.36659542430569,0.231883948846467,0.459393528323898,0.396045753871143,0.316043984586767,0.626125964764339,0.282762719349769,0.203742735688374,0.392429969019201,1.40062931486116,1.11770032949722,2.21431582707988,1.40062931486116
"306","Micropogonias","IUU_40",2011,106.8368,183.164286666667,486.672261478273,327.475900721923,573.4459537993,0.673650281700673,0.4532911575881,0.793762165823078,0.336825140850336,0.22664557879405,0.396881082911539,0.219525147530459,0.186306659402103,0.326243243440136,0.282762719349769,0.203742735688374,0.392429969019201,0.776358170678481,0.65887985456685,1.15377035625613,0.776358170678481
"307","Micropogonias","IUU_40",2012,59.96984,125.528946666667,447.441031135158,308.54700881549,582.547147250657,0.619346530564688,0.427089842299825,0.806360010445856,0.309673265282344,0.213544921149913,0.403180005222928,0.134028477110953,0.102944182772208,0.194362085149436,0.282762719349769,0.203742735688374,0.392429969019201,0.473996280058279,0.364065613065735,0.687368142435411,0.473996280058279
"308","Micropogonias","IUU_40",2013,112.00588,92.9375066666667,476.0922969698,310.044384044493,651.778882982048,0.659005526624912,0.429162504591622,0.902190370977221,0.329502763312456,0.214581252295811,0.451095185488611,0.235260853227173,0.171846438914292,0.361257567509839,0.282762719349769,0.203742735688374,0.392429969019201,0.832008030507597,0.607740791676725,1.27759970741749,0.832008030507597
"309","Micropogonias","IUU_40",2014,161.53508,111.170266666667,542.754986696349,325.393000688003,756.022786258498,0.751279821397347,0.450408013621065,1.04648446859941,0.375639910698674,0.225204006810532,0.523242234299706,0.297620628017137,0.213664300780437,0.49643071503829,0.282762719349769,0.203742735688374,0.392429969019201,1.05254550069944,0.755631086275349,1.75564415344379,1.05254550069944
"310","Micropogonias","IUU_40",2015,192.89438,155.478446666667,603.566223871334,316.860321477181,850.839784663231,0.835454553133777,0.438597104701431,1.17772987282965,0.417727276566888,0.219298552350716,0.588864936414825,0.319591077782246,0.22671057874468,0.608767860553634,0.282762719349769,0.203742735688374,0.392429969019201,1.13024474554908,0.801769693211382,2.15292829957759,1.13024474554908
"311","Micropogonias","IUU_60",2005,189.22048,189.22048,645.377184769002,329.702952654804,981.73857238529,0.791976863981029,0.404596128669002,1.20474391434399,0.395988431990514,0.202298064334501,0.602371957171996,0.293193630741265,0.192740191047255,0.573911997076083,0.282762719349769,0.203742735688374,0.392429969019201,1.03688927386002,0.681632258631808,2.02965934970434,1.03688927386002
"312","Micropogonias","IUU_60",2006,186.77184,187.99616,629.278757072454,341.447823292027,932.778667550211,0.772221622266524,0.41900888764879,1.14466259630674,0.386110811133262,0.209504443824395,0.572331298153368,0.296803027117751,0.200231680351916,0.546999650486164,0.282762719349769,0.203742735688374,0.392429969019201,1.04965402723622,0.708126166039009,1.93448291820091,1.04965402723622
"313","Micropogonias","IUU_60",2007,196.24592,190.74608,629.15475655484,356.386212665327,893.860229591006,0.772069454598702,0.4373405842876,1.09690369938043,0.386034727299351,0.2186702921438,0.548451849690216,0.311919949671229,0.219548776758749,0.550655196597881,0.282762719349769,0.203742735688374,0.392429969019201,1.10311553937701,0.776441736250153,1.9474108816896,1.10311553937701
"314","Micropogonias","IUU_60",2008,170.96608,184.66128,624.917743010763,368.507521289884,852.474584497256,0.76686998864534,0.452215290456921,1.046117160611,0.38343499432267,0.226107645228461,0.523058580305498,0.273581734415653,0.200552700466521,0.463941901108473,0.282762719349769,0.203742735688374,0.392429969019201,0.967531133682588,0.709261464622016,1.64074635501928,0.967531133682588
"315","Micropogonias","IUU_60",2009,266.14384,211.118613333333,626.034211997259,385.028030326743,820.213631052729,0.768240067457428,0.47248849076081,1.00652801903454,0.384120033728714,0.236244245380405,0.50326400951727,0.42512667023566,0.324481122873329,0.691232375404317,0.282762719349769,0.203742735688374,0.392429969019201,1.5034749673269,1.14753855677826,2.44456686862346,1.5034749673269
"316","Micropogonias","IUU_60",2010,239.7488,225.619573333333,599.719643572733,395.117006944234,744.045400214157,0.735948053004935,0.484869213616945,0.913057908813482,0.367974026502467,0.242434606808473,0.456528954406741,0.399768129274097,0.322223348106169,0.606779247125239,0.282762719349769,0.203742735688374,0.392429969019201,1.41379362241738,1.1395538593176,2.14589550037066,1.41379362241738
"317","Micropogonias","IUU_60",2011,122.0992,209.330613333333,551.320876752626,375.755061959773,647.180461931657,0.676555337440537,0.461109135276316,0.794189761842732,0.338277668720268,0.230554567638158,0.397094880921366,0.221466672401715,0.188663297460444,0.324943593209854,0.282762719349769,0.203742735688374,0.392429969019201,0.783224439597242,0.667214185428291,1.14917409889494,0.783224439597242
"318","Micropogonias","IUU_60",2012,68.53696,143.461653333333,508.724712780721,352.596828169762,649.642334693521,0.624283306206328,0.432690427882876,0.797210857591817,0.312141653103164,0.216345213941438,0.398605428795908,0.134723079650235,0.105499528494142,0.194377698619007,0.282762719349769,0.203742735688374,0.392429969019201,0.476452765626386,0.373102680355971,0.687423360003015,0.476452765626386
"319","Micropogonias","IUU_60",2013,128.00672,106.214293333333,532.471353494407,352.963523672241,727.6000980768,0.653424079209081,0.433140419548127,0.89287699891871,0.32671203960454,0.216570209774063,0.446438499459355,0.240401139253672,0.175930047753359,0.362662743923834,0.282762719349769,0.203742735688374,0.392429969019201,0.850186827338801,0.622182613598856,1.28256916172613,0.850186827338801
"320","Micropogonias","IUU_60",2014,184.61152,127.051733333333,606.668120907389,370.670619089869,847.999375944538,0.74447490120908,0.454869743469123,1.04062539282173,0.37223745060454,0.227434871734561,0.520312696410864,0.30430397384962,0.217702424361305,0.498047351185504,0.282762719349769,0.203742735688374,0.392429969019201,1.07618138115727,0.769912048030683,1.76136144231034,1.07618138115727
"321","Micropogonias","IUU_60",2015,220.45072,177.689653333333,671.898544470812,357.410931007235,959.173529138839,0.824522643070926,0.438598070976068,1.1770531427957,0.412261321535463,0.219299035488034,0.588526571397848,0.328101201906349,0.229834032427817,0.616799042432021,0.282762719349769,0.203742735688374,0.392429969019201,1.16034108973361,0.812815893680525,2.18133084817684,1.16034108973361
"322","Mugil","IUU",2005,454.602,454.602,892.565931575419,748.390325591429,1039.71564084005,0.521356831788282,0.437142395075135,0.607308472453489,0.260678415894141,0.218571197537568,0.303654236226745,0.509320358214442,0.437236857986187,0.60743970686786,0.289558716961687,0.259899650895991,0.322602397807959,1.75895363661883,1.51001103532325,2.09781184708121,1.75895363661883
"323","Mugil","IUU",2006,262.208,358.405,820.195973653683,680.591943777875,982.334068922524,0.479084803869704,0.397540671222313,0.573791313127062,0.239542401934852,0.198770335611157,0.286895656563531,0.31968945035411,0.266923451293513,0.38526462500352,0.277446362248705,0.249027946550621,0.309107812963444,1.15225677411311,0.962072269140947,1.38860939419406,1.10405742126703
"324","Mugil","IUU",2007,328.398,348.402666666667,800.740330351906,664.245346770216,961.644327933926,0.46772056488927,0.387992457779536,0.56170622514561,0.233860282444635,0.193996228889768,0.280853112572805,0.410117971522275,0.34149632089606,0.494392624045891,0.270865133331864,0.243120823063194,0.301775551474742,1.5141039619145,1.26076145975443,1.8252353780808,1.41635512073546
"325","Mugil","IUU",2008,387.132,325.912666666667,777.940108936003,648.2667159174,928.120802184858,0.454402723841398,0.378659177107447,0.542124793055705,0.227201361920699,0.189329588553724,0.271062396527852,0.497637280239329,0.417113805755313,0.59718012739887,0.263152539398822,0.236198218585134,0.293182816563405,1.89106014852144,1.58506471838812,2.26933066564032,1.71860576487212
"326","Mugil","IUU",2009,344.58,353.37,762.586618781957,634.696763619331,902.643723671349,0.44543459420477,0.370732830058605,0.527243372572201,0.222717297102385,0.185366415029303,0.2636216862861,0.451856866503088,0.381745301012541,0.542904926811108,0.257958939176565,0.231536591061634,0.287396536314148,1.75166198134272,1.47986847143625,2.10461761295857,1.56050168768663
"327","Mugil","IUU",2010,263.656,331.789333333333,710.675026450863,591.817630413011,835.420340093084,0.415112505546228,0.345686692571802,0.487977511032323,0.207556252773114,0.172843346285901,0.243988755516161,0.370993759717022,0.315596816772049,0.445502104788603,0.240398889001434,0.21577519054805,0.267832579298565,1.54324240539568,1.31280480572507,1.85317871741889,1.28123844313798
"328","Mugil","IUU",2011,177.872,262.036,645.393947156742,531.360161518631,761.345604905502,0.376981163678374,0.310372870560829,0.444709705387098,0.188490581839187,0.155186435280414,0.222354852693549,0.275602212855587,0.233628458421425,0.334748467953715,0.218316364146867,0.195954545668748,0.243230054662156,1.26239832699936,1.07013718066621,1.53331826160553,0.951800780675699
"329","Mugil","IUU",2012,145.639,195.722333333333,609.55155530982,487.807746046062,727.908598644534,0.356045258334056,0.284933462059736,0.42517881020949,0.178022629167028,0.142466731029868,0.212589405104745,0.238928108264731,0.200078691570892,0.298558194658614,0.206192016367003,0.185072076688388,0.229722108133441,1.15876507963073,0.970351302131749,1.44796195274218,0.825145624251213
