"","Name","Adjusted","Implementation_year","Reserve_size","C_change","B_change","PV_change","C_per","B_per","PV_per","Transition_period","Payoff_period","B_per_50","Loss"
"3864","Micropogonias","IUU_60_legal",2020,0.2,2434.61117477284,18736.4142429242,266257.697832671,18.108465912227,67.4902076773365,44.2087371216952,2022,2032,47.2457165113558,465.737746204025
"3865","Micropogonias","IUU_60_legal",2020,0.25,3539.76507477283,32224.3771429242,251367.313811678,26.3285225410979,116.075033218808,41.7363764043014,2023,2035,97.4572458977127,563.75821198627
"3866","Micropogonias","IUU_60_legal",2020,0.3,3354.09957477284,28835.9626429242,257799.849635337,24.9475556694001,103.869666955182,42.8044179579123,2023,2034,84.4624910369966,527.93291198627
"3867","Micropogonias","IUU_60_legal",2020,0.35,3712.65427477284,35532.6385429242,244686.902070721,27.6144601960437,127.991680985135,40.6271781767023,2023,2037,110.086299020135,599.47251198627
"3868","Micropogonias","IUU_60_legal",2020,0.4,3503.56447477283,32203.8447429242,250962.914817208,26.059265035877,116.001073712888,41.6692310448083,2023,2035,97.460321433749,563.22491198627
"3869","Micropogonias","IUU_60_legal",2020,0.45,3352.42497477283,59376.4845429242,165484.818498085,24.9351001129109,213.879305879751,27.4766697758009,2025,2048,206.683719020827,819.560676058673
"3870","Micropogonias","IUU_60_legal",2020,0.5,2957.06357477284,64811.6276429242,141836.618854945,21.9944299520675,233.457168101364,23.5501840819227,2026,2053,229.949082949864,867.519690492048
"3871","Micropogonias","IUU_60_legal",2020,0.55,3161.57677477284,61391.8951429242,156380.288733979,23.5155846847718,221.138991654497,25.9649772830229,2025,2050,215.426114736267,841.532476058673
"3872","Micropogonias","IUU_60_legal",2020,0.6,2700.76968477283,67781.1476429242,128638.220616558,20.0881341054586,244.153639630205,21.3587562926124,2026,2061,242.641246071752,909.308680492048
"3873","Micropogonias","IUU_60_legal",2020,0.65,234.595684772836,91726.7059429242,9916.36871924531,1.74490612911149,330.407641151712,1.64648812589983,2030,NA,347.352299200616,1266.17131174794
"3874","Micropogonias","IUU_60_legal",2020,0.7,-118.438755227164,94739.7909429242,-6388.92045905464,-0.880939093659506,341.261037632112,-1.06079977166808,2030,NA,360.835449183902,1334.18259174794
"3875","Micropogonias","IUU_60_legal",2020,0.75,-882.735515227165,99189.8469429242,-31777.0067255547,-6.56572439683093,357.29052970684,-5.27617172491007,2032,NA,381.355425618319,1429.4659318002
"3876","Micropogonias","IUU_60_legal",2020,0.8,-1417.78906522717,103172.110942924,-54017.0741917547,-10.5454149000979,371.634993962453,-8.96885480669609,2033,NA,398.946671603203,1536.06164003738
"3877","Micropogonias","IUU_60_legal",2020,0.85,-4272.20042522717,117183.821942924,-138321.311286255,-31.7763249310831,422.106406103757,-22.9665115365985,2088,NA,461.602721949802,4286.74236552654
"3878","Micropogonias","IUU_60_legal",2020,0.9,-4973.06188522717,119815.368942924,-154976.882067955,-36.9892829545703,431.585469239316,-25.7319592824988,2088,NA,473.207334522096,4738.17342552654
"3879","Micropogonias","IUU_60_legal",2020,0.95,-5891.96083522716,122961.376942924,-175292.984578955,-43.8239884242882,442.917666025835,-29.1051922164463,2092,NA,487.383915363707,5455.82075371018
"3880","Micropogonias","IUU_60_legal",2020,1,-6648.04826522716,125329.831942924,-190682.794266955,-49.4477133109103,451.449048698739,-31.6604762754157,2098,NA,498.216773426616,6173.610666462
"3881","Micropogonias","IUU_60_legal",2025,0.05,1086.21859153257,9712.0304920348,263637.926158414,7.74156938477446,33.5149319867466,43.7737613710007,2020,2030,16.3106584538653,447.170347468429
"3882","Micropogonias","IUU_60_legal",2025,0.1,1681.72043153257,12678.6030920348,280968.665329894,11.9857600560245,43.75218144805,46.6513126092834,2020,2030,26.3175100816723,447.170347468429
"3883","Micropogonias","IUU_60_legal",2025,0.15,2219.31593153257,15824.7654920348,294986.345615626,15.8172474717577,54.6091715431427,48.9787720941297,2020,2030,37.1398176965976,447.170347468429
"3884","Micropogonias","IUU_60_legal",2025,0.2,2697.73923153257,19148.8387920348,305533.501500026,19.2270097434723,66.0801086103017,50.7299946574155,2020,2031,48.8605627186514,447.170347468429
"3885","Micropogonias","IUU_60_legal",2025,0.25,3140.20053153257,22477.0570920348,315041.333749479,22.3804678786297,77.5653495239322,52.3086506046367,2020,2031,60.7486693751129,447.170347468429
"3886","Micropogonias","IUU_60_legal",2025,0.3,3722.57743153257,28894.4188920348,324916.093845219,26.5311160212643,99.7108158543498,53.9482303051957,2020,2032,84.5452886296944,447.170347468429
"3887","Micropogonias","IUU_60_legal",2025,0.35,4165.19153153257,36044.6685920348,329681.101376266,29.6856631746093,124.385381340969,54.7393998673085,2020,2033,111.74459865581,447.170347468429
"3888","Micropogonias","IUU_60_legal",2025,0.4,4341.17953153257,42264.4360920348,329095.287439837,30.9399441485387,145.848975890722,54.6421328320427,2020,2034,136.009526043249,447.170347468429
"3889","Micropogonias","IUU_60_legal",2025,0.45,4098.50813153257,56466.8645920348,315935.053344575,29.2104050894164,194.85967716627,52.4570415014184,2020,2036,193.212769984178,447.170347468429
"3890","Micropogonias","IUU_60_legal",2025,0.5,4307.53473153257,53402.4868920348,321187.644781471,30.7001548872728,184.284915247902,53.3291682378421,2020,2035,180.653365444571,447.170347468429
"3891","Micropogonias","IUU_60_legal",2025,0.55,3076.74433153257,74052.2273920348,285609.253928778,21.9282103136942,255.544437030609,47.4218239727603,2020,2041,266.929769058217,447.170347468429
"3892","Micropogonias","IUU_60_legal",2025,0.6,3217.05423153257,71831.2227920348,289867.412970528,22.928210529754,247.880044072586,48.1288377188073,2020,2040,257.386165218864,447.170347468429
"3893","Micropogonias","IUU_60_legal",2025,0.65,1452.71304153257,90482.1164920348,245013.306324528,10.3536055218163,312.241810065825,40.6813775242842,2020,2092,338.738853728209,447.170347468429
