"","Adjusted","Implementation_year","Reserve_size","C_change","B_change","PV_change","C_per","B_per","PV_per","Transition_period","Payoff_period","B_per_50","Loss"
"318","IUU_40",2030,0.9,-329669.842451687,6157350.8306237,-9079022.21302668,-38.3230941437462,275.911232443968,-12.1848064458214,2127,NA,361.448965859893,327216.554608828
"319","IUU_40",2030,0.95,-395029.860238687,6403041.5853237,-11480430.0098118,-45.9209929878154,286.920648797543,-15.4076963688497,NA,NA,377.842371184764,NA
"320","IUU_40",2030,1,-412647.292239687,6468554.7915237,-12127580.6194286,-47.9689646801133,289.856299203249,-16.2762265623502,NA,NA,382.24482448517,NA
"321","IUU_40_legal",2015,0.05,37360.9486707986,455563.812828985,69571401.8322879,4.95662329824534,23.1986622248659,93.370684092773,2020,2029,12.1477587045144,10229.0071402643
"322","IUU_40_legal",2015,0.1,56448.4251543678,627490.546487462,70756697.3502633,7.48893133669503,31.9536820689569,94.961450563632,2021,2031,20.0755141023727,11537.3782372971
"323","IUU_40_legal",2015,0.15,70215.8357623678,795820.117487462,71019840.0745822,9.31543389093717,40.5255237080809,95.3146102749014,2021,2033,28.1631983710479,13482.5680872971
"324","IUU_40_legal",2015,0.2,84614.9453333678,978197.711997462,71070534.9342501,11.2257430375941,49.812732422372,95.3826470486692,2022,2035,36.9726369614659,14968.8333842698
"325","IUU_40_legal",2015,0.25,101775.368769368,1325625.92304746,69495231.8002602,13.5023917212265,67.5048086772611,93.2684574908864,2023,2039,54.4130631011044,18684.9825105084
"326","IUU_40_legal",2015,0.3,102857.632468368,1331442.42714746,69570751.3183574,13.6459740888098,67.801002339149,93.3698110482589,2023,2039,54.6568859592905,18784.2058025084
"327","IUU_40_legal",2015,0.35,110798.932255368,1852214.51254746,64408376.2650672,14.699534904126,94.3202634505859,86.4414686895534,2024,2046,82.0381802217501,25563.7524230576
"328","IUU_40_legal",2015,0.4,108822.266607368,2241523.41774746,59117340.6495816,14.4372935170015,114.145029023565,79.3404530140601,2025,2055,103.279117919789,31293.1044361436
"329","IUU_40_legal",2015,0.45,94900.9295783679,2730508.90834746,50870277.6604017,12.5903697659834,139.045622331989,68.2721994964409,2027,2078,130.994918093461,39468.1066235161
"330","IUU_40_legal",2015,0.5,88070.3866463678,2884642.97544746,47925115.9354071,11.6841714642556,146.894586756519,64.3195442705263,2028,2086,140.001806603559,42253.0195257291
"331","IUU_40_legal",2015,0.55,49503.2545813678,3512746.38894746,34984181.0628829,6.56752555078344,178.879477833769,46.95171912938,2031,NA,177.407393693658,56449.5609784017
"332","IUU_40_legal",2015,0.6,-2960.09554863221,3992583.01314746,23500839.7796974,-0.392711616898809,203.314183695963,31.5401074176233,2034,NA,207.401273601208,70357.474126645
"333","IUU_40_legal",2015,0.65,-61380.6365036322,4477810.98584746,11336937.1904593,-8.14328071901523,228.023433034319,15.2151250817361,2042,NA,238.260403736276,88671.1116379286
"334","IUU_40_legal",2015,0.7,-95650.3756396322,4692512.94324746,5429034.22712515,-12.6897976964884,238.956694299761,7.28622144155931,2070,NA,252.35698989452,114093.259411921
"335","IUU_40_legal",2015,0.75,-178686.899061632,5208166.19344746,-8696343.89712407,-23.7061337704295,265.215289121547,-11.6712263573169,2082,NA,286.434061339503,177311.758908315
"336","IUU_40_legal",2015,0.8,-257157.899808632,5578021.57334746,-19593397.8101479,-34.1167685208049,284.049423415638,-26.2959910114433,2096,NA,311.593343827276,247347.366404758
"337","IUU_40_legal",2015,0.85,-333316.768538632,5884628.43444746,-28960465.5083834,-44.2206560436122,299.662755305007,-38.867385232246,2106,NA,332.461165059021,322795.203145604
"338","IUU_40_legal",2015,0.9,-379233.102828632,6086050.68294746,-35192366.9073798,-50.3123100408706,309.919774356867,-47.2311220766709,2106,NA,346.317522740014,364731.851008604
"339","IUU_40_legal",2015,0.95,-460900.750835032,6374330.90214746,-44467191.4285975,-61.1470393832176,324.599859216551,-59.6787181805145,2114,NA,365.984986760484,456302.964999343
"340","IUU_40_legal",2015,1,-527065.475332832,6599305.28544746,-51816355.7908096,-69.9250181721799,336.056222914568,-69.5419160741569,NA,NA,381.288358373468,NA
"341","IUU_40_legal",2020,0.05,39001.558757431,461337.718562078,69438045.3546479,4.94061780165578,22.4584683083348,93.1916149364502,2021,2028,12.2101920137675,8240.74975229712
"342","IUU_40_legal",2020,0.1,59742.912366831,636679.819842078,69982451.3610427,7.56807947595397,30.9943301428877,93.9222529412776,2021,2030,20.4003939352943,9322.95974529713
"343","IUU_40_legal",2020,0.15,77175.3506098309,812757.889967078,69997986.9276153,9.77637620699734,39.5660198153049,93.9431029598871,2022,2031,28.7957585670256,9928.86828526985
"344","IUU_40_legal",2020,0.2,91137.2585118309,983402.267093078,69618161.4945892,11.5450350227827,47.8731908561312,93.4333457321764,2023,2032,37.0884266085758,10577.1600175084
"345","IUU_40_legal",2020,0.25,122399.334696831,1719374.79575408,64309774.1811179,15.5052349490716,83.7012080454823,86.3090497655497,2025,2039,74.3744665659947,16864.5963841436
"346","IUU_40_legal",2020,0.3,118530.357533831,1537605.32095708,66070934.5713492,15.0151228085645,74.8524540310156,88.6726730514517,2024,2037,64.9366718964236,15527.3104960575
"347","IUU_40_legal",2020,0.35,127635.302696831,1898508.81085108,62487755.3759963,16.1685139957012,92.4216647502583,83.8637494402505,2025,2042,83.6975962144151,19131.5924781436
"348","IUU_40_legal",2020,0.4,121456.502601831,1718611.65503908,64250254.9049508,15.3857993885213,83.6640574487003,86.2291699613656,2025,2039,74.4458872879599,16834.9488201436
"349","IUU_40_legal",2020,0.45,102444.171215831,3158579.94615708,44318004.127075,12.9773658312662,153.763424853295,59.4784365583518,2029,2080,153.843518996677,35895.7191655507
"350","IUU_40_legal",2020,0.5,83997.483873831,3442714.14093508,39204433.6529447,10.6405866160996,167.595415067807,52.6156009450844,2031,2096,170.793909465121,40677.4818404017
"351","IUU_40_legal",2020,0.55,92489.163153831,3261818.51030208,42405580.4954741,11.7162908482728,158.789200825559,56.9118054592006,2030,2086,160.16091680169,37354.0492630389
"352","IUU_40_legal",2020,0.6,70625.171496831,3597870.51606408,36376755.1234926,8.94661625481195,175.148611768332,48.820621876551,2031,2106,180.09926721709,43968.2866224017
"353","IUU_40_legal",2020,0.65,-61884.574869469,4848935.39565008,11028753.4656409,-7.83937980914017,236.051936641545,14.8015016976605,2046,NA,257.810580371416,83433.5610585483
"354","IUU_40_legal",2020,0.7,-83503.678196169,5006412.43158008,7556351.85597867,-10.5780325746884,243.718105867308,10.1412507925608,2070,NA,267.886455364748,110005.376958921
"355","IUU_40_legal",2020,0.75,-129365.418045869,5240599.20225008,2172532.44370401,-16.3876805871069,255.118596127927,2.91571869421951,2078,NA,283.557413332538,141142.931043235
"356","IUU_40_legal",2020,0.8,-162387.801343869,5449227.99916008,-2563685.25370288,-20.5708717203104,265.274893857524,-3.4406782011375,2082,NA,296.965947983213,167848.887762015
"357","IUU_40_legal",2020,0.85,-330250.122966569,6193474.80165008,-20550171.4105696,-41.8352416803537,301.505712528493,-27.5800341324508,2106,NA,347.00448072263,321201.987155004
"358","IUU_40_legal",2020,0.9,-369843.928050869,6334349.66055008,-24102424.809861,-46.8508837333142,308.363668049468,-32.3474527608511,2110,NA,356.407214340845,360167.548326158
"359","IUU_40_legal",2020,0.95,-418589.295421869,6504214.29645008,-28458538.1309026,-53.0258223115198,316.632880360912,-38.1937180634051,2116,NA,367.845071751598,413202.686062168
"360","IUU_40_legal",2020,1,-458888.236643069,6631948.93366008,-31743446.2955997,-58.1307892084495,322.8511542766,-42.6023372176821,NA,NA,376.704011477631,NA
